spec_code,semester_no,course_code,name_vi,name_en,credits,is_mandatory,prerequisites
CS,8,CSC14118,Nhập môn dữ liệu lớn,Introduction to Big Data,4,TRUE,
CS,8,CSC16005,Xử lý ảnh số và video số,Digital Image and Video Processing,4,TRUE,
CS,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
CS,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
CS,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
CS,9,CSC14001,Automata và ngôn ngữ hình thức,Automata and Formal Languages,4,TRUE,
CS,9,CSC14118,Nhập môn dữ liệu lớn,Introduction to Big Data,4,TRUE,
CS,9,CSC14111,Nhập môn thiết kế và phân tích giải thuật,Introduction to Algorithm Design and Analysis,4,TRUE,
KT,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
KT,7,CSC15005,Nhập môn mã hóa – mật mã,Introduction to Cryptography,4,TRUE,
KT,7,CSC15006,Nhập môn xử lý ngôn ngữ tự nhiên,Introduction to Natural Language Processing,4,TRUE,
KT,7,CSC15109,Nhập môn tính toán lượng tử,Introduction to Quantum Computing,4,TRUE,
KT,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
KT,8,CSC15002,Bảo mật cơ sở dữ liệu,Database Security,4,TRUE,
KT,8,CSC15003,Mã hóa ứng dụng,Applied Cryptography,4,TRUE,
KT,8,CSC15007,Thống kê máy tính và ứng dụng,Computer Statistics and Applications,4,TRUE,
KT,8,CSC15012,Ứng dụng xử lý ngôn ngữ tự nhiên trong doanh nghiệp,NLP Applications in Business,4,TRUE,
KT,8,CSC15108,Pháp chứng cho dữ liệu số,Digital Forensics,4,TRUE,
KT,8,CSC15105,Khai thác dữ liệu văn bản và ứng dụng,Text Mining and Applications,4,TRUE,
KT,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
KT,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
KT,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
KT,9,CSC15004,Học thống kê,Statistical Learning,4,TRUE,
KT,9,CSC15001,An ninh máy tính,Computer Security,4,TRUE,
KT,9,CSC16106,Nhập môn lập trình điều khiển thiết bị thông minh,Introduction to Smart Device Control Programming,4,TRUE,
CV,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
CV,7,CSC16005,Xử lý ảnh số và video số,Digital Image and Video Processing,4,TRUE,
CV,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
CV,8,CSC16003,Phân tích thống kê dữ liệu nhiều biến,Multivariate Statistical Data Analysis,4,TRUE,
CV,8,CSC16004,Thị giác máy tính,Computer Vision,4,TRUE,
CV,8,CSC16101,Đồ họa ứng dụng,Applied Computer Graphics,4,TRUE,
CV,8,CSC16109,Ứng dụng xử lý ảnh số và video số,Digital Image and Video Processing Applications,4,TRUE,
CV,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
CV,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
CV,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
CV,9,CSC16105,Truy vấn thông tin thị giác,Visual Information Retrieval,4,TRUE,
CV,9,CSC16106,Nhập môn lập trình điều khiển thiết bị thông minh,Introduction to Smart Device Control Programming,4,TRUE,
SEC,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
SEC,7,CSC15005,Nhập môn mã hóa – mật mã,Introduction to Cryptography,4,TRUE,
SEC,7,CSC11004,Mạng máy tính nâng cao,Advanced Computer Networks,4,TRUE,
SEC,7,CSC14007,Nhập môn phân tích độ phức tạp thuật toán,Introduction to Algorithm Complexity Analysis,4,TRUE,
SEC,7,CSC15109,Nhập môn tính toán lượng tử,Introduction to Quantum Computing,4,TRUE,
SEC,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
SEC,8,CSC15002,Bảo mật cơ sở dữ liệu,Database Security,4,TRUE,
SEC,8,CSC15003,Mã hóa ứng dụng,Applied Cryptography,4,TRUE,
SEC,8,CSC12001,An toàn và bảo mật dữ liệu trong hệ thống thông tin,Data Security and Privacy in Information Systems,4,TRUE,
SEC,8,CSC14005,Nhập môn học máy,Introduction to Machine Learning,4,TRUE,
SEC,8,CSC15004,Học thống kê,Statistical Learning,4,TRUE,
SEC,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
SEC,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
SEC,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
SEC,9,CSC16106,Nhập môn lập trình điều khiển thiết bị thông minh,Introduction to Smart Device Control Programming,4,TRUE,
DS,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
DS,7,CSC14119,Nhập môn khoa học dữ liệu,Introduction to Data Science,4,TRUE,
DS,7,CSC17104,Lập trình cho khoa học dữ liệu,Programming for Data Science,4,TRUE,
DS,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
DS,8,CSC10108,Trực quan hóa dữ liệu,Data Visualization,4,TRUE,
DS,8,CSC14005,Nhập môn học máy,Introduction to Machine Learning,4,TRUE,
DS,8,CSC15007,Thống kê máy tính và ứng dụng,Computer Statistics and Applications,4,TRUE,
DS,8,CSC14004,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,4,TRUE,
DS,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
DS,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
DS,9,CSC14118,Nhập môn dữ liệu lớn,Introduction to Big Data,4,TRUE,
DS,9,CSC17103,Khai thác dữ liệu đồ thị,Graph Data Mining,4,TRUE,
DS,9,CSC15004,Học thống kê,Statistical Learning,4,TRUE,
IT,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
IT,7,CSC11004,Mạng máy tính nâng cao,Advanced Computer Networks,4,TRUE,
IT,7,CSC12002,Cơ sở dữ liệu nâng cao,Advanced Databases,4,TRUE,
IT,7,CSC13008,Phát triển ứng dụng web,Web Application Development,4,TRUE,
IT,7,CSC14004,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,4,TRUE,
IT,7,CSC14005,Nhập môn học máy,Introduction to Machine Learning,4,TRUE,
IT,7,CSC15005,Nhập môn mã hóa – mật mã,Introduction to Cryptography,4,TRUE,
IT,7,CSC15006,Nhập môn xử lý ngôn ngữ tự nhiên,Introduction to Natural Language Processing,4,TRUE,
IT,7,CSC14119,Nhập môn khoa học dữ liệu,Introduction to Data Science,4,TRUE,
IT,7,CSC17104,Lập trình cho khoa học dữ liệu,Programming for Data Science,4,TRUE,
IT,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
IT,8,CSC11006,Nhập môn điện toán đám mây,Introduction to Cloud Computing,4,TRUE,
IT,8,CSC11007,Nhập môn DevOps,Introduction to DevOps,4,TRUE,
IT,8,CSC12001,An toàn và bảo mật dữ liệu trong hệ thống thông tin,Data Security and Privacy in Information Systems,4,TRUE,
IT,8,CSC12004,Phân tích thiết kế hệ thống thông tin,Information Systems Analysis and Design,4,TRUE,
IT,8,CSC13010,Thiết kế phần mềm,Software Design,4,TRUE,
IT,8,CSC14118,Nhập môn dữ liệu lớn,Introduction to Big Data,4,TRUE,
IT,8,CSC15002,Bảo mật cơ sở dữ liệu,Database Security,4,TRUE,
IT,8,CSC15003,Mã hóa ứng dụng,Applied Cryptography,4,TRUE,
IT,8,CSC15007,Thống kê máy tính và ứng dụng,Computer Statistics and Applications,4,TRUE,
IT,8,CSC16003,Phân tích thống kê dữ liệu nhiều biến,Multivariate Statistical Data Analysis,4,TRUE,
IT,8,CSC16004,Thị giác máy tính,Computer Vision,4,TRUE,
IT,8,CSC16005,Xử lý ảnh số và video số,Digital Image and Video Processing,4,TRUE,
IT,8,CSC16109,Ứng dụng xử lý ảnh số và video số,Digital Image and Video Processing Applications,4,TRUE,
IT,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
IT,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
IT,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
IT,9,CSC15001,An ninh máy tính,Computer Security,4,TRUE,
IT,9,CSC11002,Hệ thống viễn thông,Telecommunication Systems,4,TRUE,
IT,9,CSC11116,DevOps nâng cao,Advanced DevOps,4,TRUE,
IT,9,CSC11118,Triển khai và vận hành điện toán đám mây,Cloud Computing Deployment and Operations,4,TRUE,
IT,9,CSC13003,Kiểm thử phần mềm,Software Testing,4,TRUE,
IT,9,CSC13006,Quản lý dự án phần mềm,Software Project Management,4,TRUE,
IT,9,CSC13112,Thiết kế giao diện,Interface Design,4,TRUE,
IT,9,CSC15004,Học thống kê,Statistical Learning,4,TRUE,
IT,9,CSC16105,Truy vấn thông tin thị giác,Visual Information Retrieval,4,TRUE,
IT,9,CSC16106,Nhập môn lập trình điều khiển thiết bị thông minh,Introduction to Smart Device Control Programming,4,TRUE,
IT,9,CSC14118,Nhập môn dữ liệu lớn,Introduction to Big Data,4,TRUE,
IT,9,CSC17103,Khai thác dữ liệu đồ thị,Graph Data Mining,4,TRUE,
IT,9,CSC14111,Nhập môn thiết kế và phân tích giải thuật,Introduction to Algorithm Design and Analysis,4,TRUE,
